iter	Passed	Remaining
282	6457	16359
283	6481	16339
284	6505	16320
285	6527	16295
286	6548	16268
287	6569	16241
288	6593	16222
289	6617	16201
290	6627	16148
291	6651	16127
292	6661	16072
293	6683	16048
294	6708	16031
295	6717	15975
296	6739	15952
297	6760	15925
298	6782	15900
299	6804	15876
300	6828	15857
301	6853	15840
302	6880	15827
303	6903	15806
304	6932	15796
305	6958	15780
306	6965	15722
307	6975	15671
308	7000	15655
309	7027	15640
310	7052	15625
311	7082	15618
312	7108	15602
313	7137	15593
314	7165	15581
315	7188	15560
316	7213	15542
317	7238	15524
318	7262	15504
319	7287	15486
320	7313	15470
321	7336	15447
322	7361	15429
323	7384	15406
324	7409	15388
325	7434	15369
326	7457	15347
327	7480	15326
328	7505	15307
329	7526	15280
330	7549	15257
331	7572	15236
332	7595	15214
333	7620	15194
334	7644	15175
335	7668	15154
336	7691	15131
337	7715	15110
338	7740	15091
339	7762	15068
340	7786	15046
341	7795	14998
342	7819	14977
343	7868	15005
344	7894	14987
345	7917	14965
346	7941	14945
347	7965	14923
348	7991	14906
349	8000	14858
350	8024	14836
351	8029	14782
352	8060	14774
353	8087	14758
354	8114	14744
355	8142	14730
356	8170	14716
357	8195	14697
358	8222	14681
359	8246	14660
360	8252	14608
361	8277	14588
362	8300	14566
363	8313	14526
364	8337	14504
365	8363	14487
366	8392	14474
367	8418	14458
368	8443	14439
369	8468	14420
370	8498	14408
371	8524	14390
372	8549	14371
373	8573	14351
374	8599	14332
375	8623	14311
376	8634	14268
377	8655	14242
378	8677	14218
379	8700	14195
380	8725	14176
381	8748	14153
382	8773	14133
383	8795	14108
384	8818	14087
385	8843	14067
386	8866	14044
387	8888	14020
388	8912	13998
389	8935	13975
390	8959	13955
391	8985	13936
392	9009	13915
393	9033	13894
394	9058	13874
395	9081	13850
396	9103	13826
397	9125	13802
398	9147	13778
399	9170	13755
400	9193	13732
401	9217	13710
402	9241	13689
403	9267	13671
